Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
31,-11.3,20,0.2,0FDB1320E06582400FBF71C01F9A7DC0F0657B20,0FDB1320,E0658240,0FBF71C0,1F9A7DC0,F0657B20,266015520,3764748864,264204736,530218432,4033182496
32,-11.2,20,0.2,0FDB7170E064EF000FBFA6C01F9B1100F064E7D0,0FDB7170,E064EF00,0FBFA6C0,1F9B1100,F064E7D0,266039664,3764711168,264218304,530256128,4033144784
33,-11.1,20,0.2,0FDBCF70E0645C800FBFDB301F9BA380F0645560,0FDBCF70,E0645C80,0FBFDB30,1F9BA380,F0645560,266063728,3764673664,264231728,530293632,4033107296
34,-11.0,20,0.2,0FDC2D30E063CAE00FC00F101F9C3520F063C3C0,0FDC2D30,E063CAE0,0FC00F10,1F9C3520,F063C3C0,266087728,3764636384,264245008,530330912,4033070016
35,-10.8,20,0.2,0FDCE7C0E062AA000FC075501F9D5600F062A2F0,0FDCE7C0,E062AA00,0FC07550,1F9D5600,F062A2F0,266135488,3764562432,264271184,530404864,4032996080
36,-10.7,20,0.2,0FDD44A0E0621AE00FC0A7A01F9DE520F06213B0,0FDD44A0,E0621AE0,0FC0A7A0,1F9DE520,F06213B0,266159264,3764525792,264284064,530441504,4032959408
37,-10.6,20,0.2,0FDDA140E0618C600FC0D9701F9E73A0F0618550,0FDDA140,E0618C60,0FC0D970,1F9E73A0,F0618550,266182976,3764489312,264296816,530477984,4032922960
38,-10.5,20,0.2,0FDDFD90E060FEC00FC10AC01F9F0140F060F7B0,0FDDFD90,E060FEC0,0FC10AC0,1F9F0140,F060F7B0,266206608,3764453056,264309440,530514240,4032886704
39,-10.4,20,0.2,0FDE59A0E06072000FC13B801F9F8E00F0606AE0,0FDE59A0,E0607200,0FC13B80,1F9F8E00,F0606AE0,266230176,3764417024,264321920,530550272,4032850656
40,-10.2,20,0.2,0FDF10E0E05F5AC00FC19B701FA0A540F05F53A0,0FDF10E0,E05F5AC0,0FC19B70,1FA0A540,F05F53A0,266277088,3764345536,264346480,530621760,4032779168
41,-10.1,20,0.2,0FDF6C20E05ED0400FC1CAB01FA12FC0F05EC930,0FDF6C20,E05ED040,0FC1CAB0,1FA12FC0,F05EC930,266300448,3764310080,264358576,530657216,4032743728
42,-10.0,20,0.2,0FDFC720E05E46A00FC1F9601FA1B960F05E3F80,0FDFC720,E05E46A0,0FC1F960,1FA1B960,F05E3F80,266323744,3764274848,264370528,530692448,4032708480
43,-9.9,20,0.2,0FE021E0E05DBDC00FC227801FA24240F05DB6A0,0FE021E0,E05DBDC0,0FC22780,1FA24240,F05DB6A0,266346976,3764239808,264382336,530727488,4032673440
44,-9.8,20,0.2,0FE07C50E05D35A00FC255301FA2CA60F05D2E80,0FE07C50,E05D35A0,0FC25530,1FA2CA60,F05D2E80,266370128,3764204960,264394032,530762336,4032638592
45,-9.7,20,0.2,0FE0D690E05CAE400FC282501FA351C0F05CA720,0FE0D690,E05CAE40,0FC28250,1FA351C0,F05CA720,266393232,3764170304,264405584,530796992,4032603936
