Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
31,-11.3,301,16.0,0FF8FC10E0199F800FF3BC301FE66080F01347B0,0FF8FC10,E0199F80,0FF3BC30,1FE66080,F01347B0,267975696,3759775616,267631664,535191680,4027795376
32,-11.2,301,16.0,0FF90E10E01983400FF3C6701FE67CC0F0132B70,0FF90E10,E0198340,0FF3C670,1FE67CC0,F0132B70,267980304,3759768384,267634288,535198912,4027788144
33,-11.1,301,16.0,0FF92010E01967200FF3D0A01FE698E0F0130F60,0FF92010,E0196720,0FF3D0A0,1FE698E0,F0130F60,267984912,3759761184,267636896,535206112,4027780960
34,-11.0,301,16.0,0FF931F0E0194B400FF3DAA01FE6B4C0F012F370,0FF931F0,E0194B40,0FF3DAA0,1FE6B4C0,F012F370,267989488,3759754048,267639456,535213248,4027773808
35,-10.8,301,16.0,0FF95590E01913E00FF3EE701FE6EC20F012BC00,0FF95590,E01913E0,0FF3EE70,1FE6EC20,F012BC00,267998608,3759739872,267644528,535227424,4027759616
36,-10.7,301,16.0,0FF96750E018F8800FF3F8201FE70780F012A090,0FF96750,E018F880,0FF3F820,1FE70780,F012A090,268003152,3759732864,267647008,535234432,4027752592
37,-10.6,301,16.0,0FF97900E018DD200FF401C01FE722E0F0128540,0FF97900,E018DD20,0FF401C0,1FE722E0,F0128540,268007680,3759725856,267649472,535241440,4027745600
38,-10.5,301,16.0,0FF98AA0E018C2000FF40B501FE73E00F0126A10,0FF98AA0,E018C200,0FF40B50,1FE73E00,F0126A10,268012192,3759718912,267651920,535248384,4027738640
39,-10.4,301,16.0,0FF99C30E018A7000FF414C01FE75900F0124F10,0FF99C30,E018A700,0FF414C0,1FE75900,F0124F10,268016688,3759712000,267654336,535255296,4027731728
40,-10.2,301,16.0,0FF9BF30E01871A00FF427401FE78E60F0121990,0FF9BF30,E01871A0,0FF42740,1FE78E60,F0121990,268025648,3759698336,267659072,535268960,4027718032
41,-10.1,301,16.0,0FF9D090E01857000FF430601FE7A900F011FF00,0FF9D090,E0185700,0FF43060,1FE7A900,F011FF00,268030096,3759691520,267661408,535275776,4027711232
42,-10.0,301,16.0,0FF9E1F0E0183CA00FF439701FE7C360F011E4A0,0FF9E1F0,E0183CA0,0FF43970,1FE7C360,F011E4A0,268034544,3759684768,267663728,535282528,4027704480
43,-9.9,301,16.0,0FF9F340E01822800FF442601FE7DD80F011CA60,0FF9F340,E0182280,0FF44260,1FE7DD80,F011CA60,268038976,3759678080,267666016,535289216,4027697760
44,-9.8,301,16.0,0FFA0480E01808600FF44B301FE7F7A0F011B050,0FFA0480,E0180860,0FF44B30,1FE7F7A0,F011B050,268043392,3759671392,267668272,535295904,4027691088
45,-9.7,301,16.0,0FFA15C0E017EE800FF453F01FE81180F0119660,0FFA15C0,E017EE80,0FF453F0,1FE81180,F0119660,268047808,3759664768,267670512,535302528,4027684448
46,-9.5,301,16.0,0FFA3800E017BB200FF465101FE844E0F01162F0,0FFA3800,E017BB20,0FF46510,1FE844E0,F01162F0,268056576,3759651616,267674896,535315680,4027671280
47,-9.4,301,16.0,0FFA4910E017A1A00FF46D801FE85E60F0114970,0FFA4910,E017A1A0,0FF46D80,1FE85E60,F0114970,268060944,3759645088,267677056,535322208,4027664752
48,-9.3,301,16.0,0FFA5A10E01788400FF475E01FE877C0F0113010,0FFA5A10,E0178840,0FF475E0,1FE877C0,F0113010,268065296,3759638592,267679200,535328704,4027658256
49,-9.2,301,16.0,0FFA6B00E0176F200FF47E101FE890E0F01116E0,0FFA6B00,E0176F20,0FF47E10,1FE890E0,F01116E0,268069632,3759632160,267681296,535335136,4027651808
50,-9.1,301,16.0,0FFA7BF0E01756200FF486401FE8A9E0F010FDD0,0FFA7BF0,E0175620,0FF48640,1FE8A9E0,F010FDD0,268073968,3759625760,267683392,535341536,4027645392
51,-9.0,301,16.0,0FFA8CD0E0173D200FF48E401FE8C2E0F010E4F0,0FFA8CD0,E0173D20,0FF48E40,1FE8C2E0,F010E4F0,268078288,3759619360,267685440,535347936,4027639024
52,-8.8,301,16.0,0FFAAE70E0170BC00FF49E101FE8F440F010B380,0FFAAE70,E0170BC0,0FF49E10,1FE8F440,F010B380,268086896,3759606720,267689488,535360576,4027626368
53,-8.7,301,16.0,0FFABF20E016F3600FF4A5D01FE90CA0F0109B00,0FFABF20,E016F360,0FF4A5D0,1FE90CA0,F0109B00,268091168,3759600480,267691472,535366816,4027620096
54,-8.6,301,16.0,0FFACFE0E016DB000FF4AD801FE92500F01082B0,0FFACFE0,E016DB00,0FF4AD80,1FE92500,F01082B0,268095456,3759594240,267693440,535373056,4027613872
55,-8.5,301,16.0,0FFAE080E016C2C00FF4B5101FE93D40F0106A70,0FFAE080,E016C2C0,0FF4B510,1FE93D40,F0106A70,268099712,3759588032,267695376,535379264,4027607664
56,-8.4,301,16.0,0FFAF120E016AAC00FF4BC801FE95540F0105260,0FFAF120,E016AAC0,0FF4BC80,1FE95540,F0105260,268103968,3759581888,267697280,535385408,4027601504
57,-8.2,301,16.0,0FFB1230E0167B000FF4CB301FE98500F01022A0,0FFB1230,E0167B00,0FF4CB30,1FE98500,F01022A0,268112432,3759569664,267701040,535397632,4027589280
58,-8.1,301,16.0,0FFB22B0E01663600FF4D2601FE99CA0F0100B00,0FFB22B0,E0166360,0FF4D260,1FE99CA0,F0100B00,268116656,3759563616,267702880,535403680,4027583232
59,-8.0,301,16.0,0FFB3320E0164BE00FF4D9701FE9B420F00FF370,0FFB3320,E0164BE0,0FF4D970,1FE9B420,F00FF370,268120864,3759557600,267704688,535409696,4027577200
60,-7.9,301,16.0,0FFB4380E01634800FF4E0701FE9CB80F00FDC10,0FFB4380,E0163480,0FF4E070,1FE9CB80,F00FDC10,268125056,3759551616,267706480,535415680,4027571216
61,-7.8,301,16.0,0FFB53E0E0161D400FF4E7601FE9E2C0F00FC4D0,0FFB53E0,E0161D40,0FF4E760,1FE9E2C0,F00FC4D0,268129248,3759545664,267708256,535421632,4027565264
62,-7.7,301,16.0,0FFB6430E01606200FF4EE201FE9F9E0F00FADB0,0FFB6430,E0160620,0FF4EE20,1FE9F9E0,F00FADB0,268133424,3759539744,267709984,535427552,4027559344
63,-7.5,301,16.0,0FFB84B0E015D8600FF4FB801FEA27A0F00F7FD0,0FFB84B0,E015D860,0FF4FB80,1FEA27A0,F00F7FD0,268141744,3759528032,267713408,535439264,4027547600
64,-7.4,301,16.0,0FFB94E0E015C1A00FF502001FEA3E60F00F6910,0FFB94E0,E015C1A0,0FF50200,1FEA3E60,F00F6910,268145888,3759522208,267715072,535445088,4027541776
65,-7.3,301,16.0,0FFBA510E015AB000FF508701FEA5500F00F5280,0FFBA510,E015AB00,0FF50870,1FEA5500,F00F5280,268150032,3759516416,267716720,535450880,4027536000
66,-7.2,301,16.0,0FFBB530E01594A00FF50ED01FEA6B60F00F3C00,0FFBB530,E01594A0,0FF50ED0,1FEA6B60,F00F3C00,268154160,3759510688,267718352,535456608,4027530240
67,-7.1,301,16.0,0FFBC550E0157E400FF515101FEA81C0F00F25B0,0FFBC550,E0157E40,0FF51510,1FEA81C0,F00F25B0,268158288,3759504960,267719952,535462336,4027524528
68,-7.0,301,16.0,0FFBD560E01568200FF51B301FEA97E0F00F0F70,0FFBD560,E0156820,0FF51B30,1FEA97E0,F00F0F70,268162400,3759499296,267721520,535468000,4027518832
69,-6.8,301,16.0,0FFBF560E0153C000FF527401FEAC400F00EE360,0FFBF560,E0153C00,0FF52740,1FEAC400,F00EE360,268170592,3759488000,267724608,535479296,4027507552
70,-6.7,301,16.0,0FFC0550E01526400FF52D201FEAD9C0F00ECD90,0FFC0550,E0152640,0FF52D20,1FEAD9C0,F00ECD90,268174672,3759482432,267726112,535484864,4027501968
71,-6.6,301,16.0,0FFC1540E01510800FF532E01FEAEF80F00EB7D0,0FFC1540,E0151080,0FF532E0,1FEAEF80,F00EB7D0,268178752,3759476864,267727584,535490432,4027496400
72,-6.5,301,16.0,0FFC2520E014FB000FF538A01FEB0500F00EA240,0FFC2520,E014FB00,0FF538A0,1FEB0500,F00EA240,268182816,3759471360,267729056,535495936,4027490880
73,-6.4,301,16.0,0FFC3500E014E5800FF53E301FEB1A80F00E8CD0,0FFC3500,E014E580,0FF53E30,1FEB1A80,F00E8CD0,268186880,3759465856,267730480,535501440,4027485392
74,-6.2,301,16.0,0FFC54A0E014BB000FF549201FEB4500F00E6240,0FFC54A0,E014BB00,0FF54920,1FEB4500,F00E6240,268194976,3759454976,267733280,535512320,4027474496
75,-6.1,301,16.0,0FFC6460E014A5E00FF54E801FEB5A20F00E4D20,0FFC6460,E014A5E0,0FF54E80,1FEB5A20,F00E4D20,268199008,3759449568,267734656,535517728,4027469088
76,-6.0,301,16.0,0FFC7420E01491000FF553C01FEB6F00F00E3820,0FFC7420,E0149100,0FF553C0,1FEB6F00,F00E3820,268203040,3759444224,267736000,535523072,4027463712
77,-5.9,301,16.0,0FFC83D0E0147C200FF558E01FEB83E0F00E2350,0FFC83D0,E0147C20,0FF558E0,1FEB83E0,F00E2350,268207056,3759438880,267737312,535528416,4027458384
78,-5.8,301,16.0,0FFC9380E01467600FF55DF01FEB98A0F00E0E90,0FFC9380,E0146760,0FF55DF0,1FEB98A0,F00E0E90,268211072,3759433568,267738608,535533728,4027453072
79,-5.7,301,16.0,0FFCA320E01452C00FF562F01FEBAD40F00DF9F0,0FFCA320,E01452C0,0FF562F0,1FEBAD40,F00DF9F0,268215072,3759428288,267739888,535539008,4027447792
80,-5.5,301,16.0,0FFCC260E01429E00FF56CA01FEBD620F00DD110,0FFCC260,E01429E0,0FF56CA0,1FEBD620,F00DD110,268223072,3759417824,267742368,535549472,4027437328
81,-5.4,301,16.0,0FFCD1F0E01415A00FF571501FEBEA60F00DBCC0,0FFCD1F0,E01415A0,0FF57150,1FEBEA60,F00DBCC0,268227056,3759412640,267743568,535554656,4027432128
82,-5.3,301,16.0,0FFCE170E01401800FF575F01FEBFE80F00DA8A0,0FFCE170,E0140180,0FF575F0,1FEBFE80,F00DA8A0,268231024,3759407488,267744752,535559808,4027426976
83,-5.2,301,16.0,0FFCF100E013ED800FF57A701FEC1280F00D9490,0FFCF100,E013ED80,0FF57A70,1FEC1280,F00D9490,268235008,3759402368,267745904,535564928,4027421840
84,-5.1,301,16.0,0FFD0070E013D9A00FF57EE01FEC2660F00D80B0,0FFD0070,E013D9A0,0FF57EE0,1FEC2660,F00D80B0,268238960,3759397280,267747040,535570016,4027416752
85,-5.0,301,16.0,0FFD0FF0E013C5C00FF583401FEC3A40F00D6CE0,0FFD0FF0,E013C5C0,0FF58340,1FEC3A40,F00D6CE0,268242928,3759392192,267748160,535575104,4027411680
86,-4.8,301,16.0,0FFD2EC0E0139EA00FF58BB01FEC6160F00D4590,0FFD2EC0,E0139EA0,0FF58BB0,1FEC6160,F00D4590,268250816,3759382176,267750320,535585120,4027401616
87,-4.7,301,16.0,0FFD3E20E0138B200FF58FC01FEC74E0F00D3220,0FFD3E20,E0138B20,0FF58FC0,1FEC74E0,F00D3220,268254752,3759377184,267751360,535590112,4027396640
88,-4.6,301,16.0,0FFD4D80E01377C00FF593C01FEC8840F00D1EC0,0FFD4D80,E01377C0,0FF593C0,1FEC8840,F00D1EC0,268258688,3759372224,267752384,535595072,4027391680
89,-4.5,301,16.0,0FFD5CE0E01364800FF597A01FEC9B80F00D0B80,0FFD5CE0,E0136480,0FF597A0,1FEC9B80,F00D0B80,268262624,3759367296,267753376,535600000,4027386752
90,-4.4,301,16.0,0FFD6C30E01351600FF59B701FECAEA0F00CF860,0FFD6C30,E0135160,0FF59B70,1FECAEA0,F00CF860,268266544,3759362400,267754352,535604896,4027381856
