Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
31,-15.0,27,0.2,0FB8E1F0E0AD0D400F9A1E601F52F2C0F0ACFFB0,0FB8E1F0,E0AD0D40,0F9A1E60,1F52F2C0,F0ACFFB0,263774704,3769437504,261758560,525529792,4037869488
32,-15.0,28,0.2,0FB821B0E0AEE1400F990AF01F511EC0F0AED360,0FB821B0,E0AEE140,0F990AF0,1F511EC0,F0AED360,263725488,3769557312,261688048,525409984,4037989216
33,-15.0,28,0.2,0FB76180E0B0B5200F97F7A01F4F4AE0F0B0A6E0,0FB76180,E0B0B520,0F97F7A0,1F4F4AE0,F0B0A6E0,263676288,3769677088,261617568,525290208,4038108896
34,-15.0,28,0.2,0FB6A160E0B288A00F96E4701F4D7760F0B27A30,0FB6A160,E0B288A0,0F96E470,1F4D7760,F0B27A30,263627104,3769796768,261547120,525170528,4038228528
35,-15.0,29,0.2,0FB5E160E0B45C000F95D1501F4BA400F0B44D40,0FB5E160,E0B45C00,0F95D150,1F4BA400,F0B44D40,263577952,3769916416,261476688,525050880,4038348096
36,-15.0,29,0.2,0FB52170E0B62F400F94BE601F49D0C0F0B62020,0FB52170,E0B62F40,0F94BE60,1F49D0C0,F0B62020,263528816,3770036032,261406304,524931264,4038467616
37,-15.0,29,0.2,0FB461A0E0B802400F93AB901F47FDC0F0B7F2D0,0FB461A0,E0B80240,0F93AB90,1F47FDC0,F0B7F2D0,263479712,3770155584,261335952,524811712,4038587088
38,-15.0,29,0.2,0FB3A1E0E0B9D5000F9298E01F462B00F0B9C540,0FB3A1E0,E0B9D500,0F9298E0,1F462B00,F0B9C540,263430624,3770275072,261265632,524692224,4038706496
39,-15.0,30,0.2,0FB2E230E0BBA7800F9186501F445880F0BB9780,0FB2E230,E0BBA780,0F918650,1F445880,F0BB9780,263381552,3770394496,261195344,524572800,4038825856
40,-15.0,30,0.2,0FB1E2D0E0BE15400F9018601F41EAC0F0BE04D0,0FB1E2D0,E0BE1540,0F901860,1F41EAC0,F0BE04D0,263316176,3770553664,261101664,524413632,4038984912
41,-15.0,30,0.2,0FB12360E0BFE7400F8F06201F4018C0F0BFD690,0FB12360,E0BFE740,0F8F0620,1F4018C0,F0BFD690,263267168,3770672960,261031456,524294336,4039104144
42,-15.0,31,0.2,0FB06400E0C1B9200F8DF3F01F3E46E0F0C1A810,0FB06400,E0C1B920,0F8DF3F0,1F3E46E0,F0C1A810,263218176,3770792224,260961264,524175072,4039223312
43,-15.0,31,0.2,0FAFA4B0E0C38AC00F8CE1F01F3C7540F0C37960,0FAFA4B0,E0C38AC0,0F8CE1F0,1F3C7540,F0C37960,263169200,3770911424,260891120,524055872,4039342432
44,-15.0,31,0.2,0FAEA5C0E0C5F7400F8B74C01F3A08C0F0C5E580,0FAEA5C0,E0C5F740,0F8B74C0,1F3A08C0,F0C5E580,263103936,3771070272,260797632,523897024,4039501184
45,-15.0,32,0.2,0FADE6B0E0C7C8800F8A63001F383780F0C7B650,0FADE6B0,E0C7C880,0F8A6300,1F383780,F0C7B650,263055024,3771189376,260727552,523777920,4039620176
46,-15.0,32,0.2,0FACE810E0CA34600F88F6401F35CBA0F0CA21C0,0FACE810,E0CA3460,0F88F640,1F35CBA0,F0CA21C0,262989840,3771348064,260634176,523619232,4039778752
47,-15.0,32,0.2,0FAC2930E0CC05000F87E4C01F33FB00F0CBF210,0FAC2930,E0CC0500,0F87E4C0,1F33FB00,F0CBF210,262940976,3771467008,260564160,523500288,4039897616
48,-15.0,33,0.2,0FAB2AD0E0CE70400F8678601F318FC0F0CE5CD0,0FAB2AD0,E0CE7040,0F867860,1F318FC0,F0CE5CD0,262875856,3771625536,260470880,523341760,4040056016
49,-15.0,33,0.2,0FAA6C20E0D040800F8567301F2FBF80F0D02CB0,0FAA6C20,E0D04080,0F856730,1F2FBF80,F0D02CB0,262827040,3771744384,260400944,523222912,4040174768
50,-15.0,34,0.2,0FA96E00E0D2AB000F83FB301F2D5500F0D296D0,0FA96E00,E0D2AB00,0F83FB30,1F2D5500,F0D296D0,262761984,3771902720,260307760,523064576,4040333008
51,-15.0,34,0.2,0FA8AF90E0D47AC00F82EA501F2B8540F0D46620,0FA8AF90,E0D47AC0,0F82EA50,1F2B8540,F0D46620,262713232,3772021440,260237904,522945856,4040451616
52,-15.0,34,0.2,0FA7B1B0E0D6E4A00F817EB01F291B60F0D6CFA0,0FA7B1B0,E0D6E4A0,0F817EB0,1F291B60,F0D6CFA0,262648240,3772179616,260144816,522787680,4040609696
53,-15.0,35,0.2,0FA6B410E0D94E400F8013401F26B1C0F0D938B0,0FA6B410,E0D94E40,0F801340,1F26B1C0,F0D938B0,262583312,3772337728,260051776,522629568,4040767664
54,-15.0,35,0.2,0FA5B680E0DBB7800F7EA8101F244880F0DBA170,0FA5B680,E0DBB780,0F7EA810,1F244880,F0DBA170,262518400,3772495744,259958800,522471552,4040925552
55,-15.0,35,0.2,0FA4F870E0DD86200F7D97D01F2279E0F0DD6FC0,0FA4F870,E0DD8620,0F7D97D0,1F2279E0,F0DD6FC0,262469744,3772614176,259889104,522353120,4041043904
56,-15.0,36,0.2,0FA3FB30E0DFEEC00F7C2D001F201140F0DFD7D0,0FA3FB30,E0DFEEC0,0F7C2D00,1F201140,F0DFD7D0,262404912,3772772032,259796224,522195264,4041201616
57,-15.0,36,0.2,0FA2FE20E0E256E00F7AC2601F1DA920F0E23F80,0FA2FE20,E0E256E0,0F7AC260,1F1DA920,F0E23F80,262340128,3772929760,259703392,522037536,4041359232
58,-15.0,37,0.2,0FA20120E0E4BEC00F7958001F1B4140F0E4A6D0,0FA20120,E0E4BEC0,0F795800,1F1B4140,F0E4A6D0,262275360,3773087424,259610624,521879872,4041516752
59,-15.0,37,0.2,0FA10460E0E726400F77EDE01F18D9C0F0E70DD0,0FA10460,E0E72640,0F77EDE0,1F18D9C0,F0E70DD0,262210656,3773244992,259517920,521722304,4041674192
60,-15.0,37,0.2,0FA007B0E0E98D400F7683F01F1672C0F0E97460,0FA007B0,E0E98D40,0F7683F0,1F1672C0,F0E97460,262145968,3773402432,259425264,521564864,4041831520
61,-15.0,38,0.2,0F9F0B30E0EBF4000F751A301F140C00F0EBDA90,0F9F0B30,E0EBF400,0F751A30,1F140C00,F0EBDA90,262081328,3773559808,259332656,521407488,4041988752
62,-15.0,38,0.2,0F9E0EE0E0EE5A600F73B0B01F11A5A0F0EE4070,0F9E0EE0,E0EE5A60,0F73B0B0,1F11A5A0,F0EE4070,262016736,3773717088,259240112,521250208,4042145904
63,-15.0,39,0.2,0F9D12B0E0F0C0600F7247701F0F3FA0F0F0A5E0,0F9D12B0,E0F0C060,0F724770,1F0F3FA0,F0F0A5E0,261952176,3773874272,259147632,521093024,4042302944
64,-15.0,39,0.2,0F9C16A0E0F326200F70DE601F0CD9E0F0F30B00,0F9C16A0,E0F32620,0F70DE60,1F0CD9E0,F0F30B00,261887648,3774031392,259055200,520935904,4042459904
65,-15.0,39,0.2,0F9ADBD0E0F624A00F6F1B501F09DB60F0F608E0,0F9ADBD0,E0F624A0,0F6F1B50,1F09DB60,F0F608E0,261807056,3774227616,258939728,520739680,4042655968
66,-15.0,40,0.2,0F99E020E0F889600F6DB2C01F0776A0F0F86D20,0F99E020,E0F88960,0F6DB2C0,1F0776A0,F0F86D20,261742624,3774384480,258847424,520582816,4042812704
67,-15.0,40,0.2,0F98E490E0FAEDE00F6C4A601F051220F0FAD110,0F98E490,E0FAEDE0,0F6C4A60,1F051220,F0FAD110,261678224,3774541280,258755168,520426016,4042969360
68,-15.0,41,0.2,0F97AA50E0FDEB000F6A88401F021500F0FDCD60,0F97AA50,E0FDEB00,0F6A8840,1F021500,F0FDCD60,261597776,3774737152,258639936,520230144,4043165024
69,-15.0,41,0.2,0F96AF20E1004EA00F6920601EFFB160F1003080,0F96AF20,E1004EA0,0F692060,1EFFB160,F1003080,261533472,3774893728,258547808,520073568,4043321472
